"ItemNumber","PricingKey","PriceMethod","AdditionalChargeItemDescription","AdditionalChargeItemCode","AdditionalChargeCatalogPrice","AdditionalChargeDiscountCode","AdditionalChargeNetPrice","SetupChargeDescription","SetupChargeCatalogPrice","SetupChargeDiscountCode","NetSetupCharge","NetRepeatSetupCharge","MinimumQuantity","MinimumOrderQuantity","MaximumOrderQuantity","dropshipchg","handlingfee3rdparty","less_than_minimum_qty","dropshipnetchg","handlingfee3rdpartynetchg","less_than_minimum_qty_netchg","additional_stitches_catalog_price_em","digitizing_fee_catalog_price_em","personalization_catalog_price_em","swatchproof_catalog_price_em","additional_stitches_net_price_em","digitizing_fee_net_price_em","personalization_net_price_em","swatchproof_net_price_em","setupchargecatalogprice_tp","setupchargecatalogprice_t4","setupchargecatalogprice_em","setupchargecatalogprice_db","setupchargecatalogprice_dm","setupchargecatalogprice_cg","netsetupcharge_tp","netsetupcharge_t4","netsetupcharge_em","netsetupcharge_dm","netsetupcharge_cg","netsetupcharge_db","netrepeatsetupcarge_tp","netrepeatsetupcarge_t4","netrepeatsetupcarge_em","netrepeatsetupcarge_cg","netrepeatsetupcarge_dm","netrepeatsetupcarge_db","setupchargedescription_tp","setupchargedescription_t4","setupchargedescription_em","setupchargedescription_dm","setupchargedescription_cg","minimumorderquantity_tp","minimumorderquantity_t4","minimumorderquantity_em","minimumorderquantity_cg","minimumorderquantity_rs","minimumorderquantity_bl","minimumorderquantity_dm","minimumorderquantity_db"
"BG139","TP","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500","8.500",,,"6.800",,,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG139","TP","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,"12.500",,,"10.000",,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG139","TP","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,"50.000",,,"40.000",,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG139","RS","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","RS","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","RS","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","T4","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500","8.500",,,"6.800",,,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG139","T4","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,"12.500",,,"10.000",,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG139","T4","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,,"50.000",,,"40.000",,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG139","RS","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","RS","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","RS","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG139","BL","Blank","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"25","13","500","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG139","BL","Blank","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"25","13","500",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG140","TP","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500","8.500",,,"6.800",,,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG140","TP","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,"12.500",,,"10.000",,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG140","TP","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,"50.000",,,"40.000",,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG140","RS","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","RS","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","RS","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","T4","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500","8.500",,,"6.800",,,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG140","T4","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,"12.500",,,"10.000",,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG140","T4","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,,"50.000",,,"40.000",,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG140","RS","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","RS","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","RS","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG140","BL","Blank","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"25","13","500","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG140","BL","Blank","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"25","13","500",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG141","TP","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500","8.500",,,"6.800",,,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG141","TP","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,"12.500",,,"10.000",,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG141","TP","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,"50.000",,,"40.000",,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG141","RS","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","RS","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","RS","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","T4","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500","8.500",,,"6.800",,,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG141","T4","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,"12.500",,,"10.000",,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG141","T4","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,,"50.000",,,"40.000",,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG141","RS","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","RS","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","RS","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG141","BL","Blank","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"25","13","500","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG141","BL","Blank","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"25","13","500",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG143","TP","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500","8.500",,,"6.800",,,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG143","TP","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,"12.500",,,"10.000",,,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG143","TP","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,"50.000",,,"40.000",,,,,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,,
"BG143","RS","1 Color 1 Location","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","1 Color 1 Location","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","1 Color 1 Location","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","T4","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500","8.500",,,"6.800",,,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG143","T4","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,"12.500",,,"10.000",,,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG143","T4","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","75","G","60","60","25","13","500",,,"50.000",,,"40.000",,,,,,,,,,"75",,,,,,"60",,,,,,"60",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,,
"BG143","RS","4 Color Process","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","4 Color Process","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","4 Color Process","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","DM","4 Color Process Dome","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500","8.500",,,"6.800",,,,,,,,,,,,,,,"50",,,,,"40",,,,,,,"20",,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,,,,"13",
"BG143","DM","4 Color Process Dome","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,"12.500",,,"10.000",,,,,,,,,,,,,,"50",,,,,"40",,,,,,,"20",,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,,,,"13",
"BG143","DM","4 Color Process Dome","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,"50.000",,,"40.000",,,,,,,,,,,,,"50",,,,,"40",,,,,,,"20",,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,,,,"13",
"BG143","RS","4 Color Process Dome","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"1","1","1","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","4 Color Process Dome","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"1","1","1",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","RS","4 Color Process Dome","Less than Minimum Qty Chg","BAG-LESS THAN MINIMUM","50.000","G","40.000",,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,
"BG143","BL","Blank","Drop Shipment Charge","BAG-DROP SHIP CHARGE","8.500","G","6.800",,,,,,"25","13","500","8.500",,,"6.800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG143","BL","Blank","Handling Fee- 3rd Party Shipping","BAG-HANDLING CHARGE","12.500","G","10.000",,,,,,"25","13","500",,"12.500",,,"10.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,
"BG143","EM","Embroidered","Additional Stitches","BAG-ADDL-STITCHES","0.350","G","0.280","Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ","50","G","40","20","25","13","500",,,,,,,"0.350",,,,"0.280",,,,,,"50",,,,,,"40",,,,,,"20",,,,,,"Set up charge is $50(G) per imprint color excluding embroidery and Debossing. For embroidery, where digitized artwork is not provided, there is a digitizing fee of $125.00(H). Set up charge for Debossing is $75 (G). All set up charges are waived on exact ",,,,,"13",,,,,
